Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
600	5	5	3	14	2	27	14	14	5	5	1	6	1	3	1	9	1	1	1	1	1	28	4	26	5	14	5	5	5	5	5	5	7	11	5	5	5	21	5	5	5	5	5	5	23	15	23	23	1	1	1	23	1	1	1	1	6	1	8	6	2	14	2	2	2	14	3	2	8	8
610	5	5	12	14	4	27	1	14	5	5	9	6	4	3	1	9	1	1	1	1	1	28	4	26	24	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	24	12	5	1	1	1	12	1	1	4	1	4	4	16	9	5	12	7	15	5	12	2	21	16	16
620	5	5	21	14	5	27	5	14	5	5	13	6	5	3	1	9	1	1	1	1	9	28	17	26	5	14	5	5	5	5	5	5	3	11	12	5	5	21	5	5	5	5	5	5	4	28	15	15	4	9	15	15	23	23	15	23	5	15	5	13	5	5	1	5	1	21	1	1	12	12
630	5	5	5	14	2	27	14	14	5	5	20	6	3	3	1	9	1	1	1	1	12	28	17	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	28	12	12	5	12	1	12	1	1	1	1	3	7	26	27	25	14	8	30	5	5	3	22	26	26
640	5	5	14	14	17	27	5	14	5	5	2	6	3	3	1	9	1	1	1	1	1	28	18	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	29	18	29	29	1	1	12	29	12	12	21	12	21	21	1	27	5	5	28	28	3	14	2	31	6	6
650	5	5	5	14	30	27	5	14	5	5	14	6	3	3	4	9	1	1	1	1	1	28	26	26	5	14	5	5	5	5	5	5	9	11	5	5	5	23	5	5	5	5	1	5	1	31	1	1	1	1	1	1	1	1	4	9	4	11	4	25	5	5	26	30	5	5	15	31	15	15
660	5	5	27	14	4	27	3	14	5	5	1	6	5	3	1	9	1	1	1	1	1	28	1	26	21	14	5	5	5	5	5	5	3	11	12	5	12	21	5	5	5	12	5	5	5	21	5	5	12	1	1	12	1	1	21	1	21	21	2	21	11	14	4	11	14	27	2	25	2	2
670	5	5	2	14	4	27	25	14	4	5	29	6	1	3	1	9	1	1	1	1	9	28	7	26	3	14	5	5	5	5	5	5	3	11	5	5	7	14	5	5	12	21	1	12	1	7	1	1	1	9	1	1	1	1	1	1	1	1	17	29	8	25	5	19	11	13	1	25	17	17
680	5	5	5	14	4	27	5	14	5	5	4	6	5	3	5	9	1	1	1	1	1	28	4	26	3	14	5	5	5	5	5	5	4	11	15	5	5	15	5	5	5	5	1	5	3	11	1	7	1	1	1	1	12	1	1	12	12	12	30	23	5	5	2	15	2	5	5	2	30	30
690	16	5	1	14	25	27	5	14	5	5	31	6	2	3	1	9	1	1	1	1	1	28	1	26	21	14	5	5	5	5	5	5	14	11	5	5	5	14	5	5	5	5	5	5	5	21	5	5	1	1	1	12	1	1	1	1	1	6	10	31	5	5	15	25	4	16	3	15	19	19
700	5	5	5	14	27	27	14	14	5	5	2	6	3	3	4	9	1	1	1	1	1	28	26	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	26	31	27	31	1	1	22	27	31	27	27	31	27	27	17	27	5	14	22	27	5	5	2	22	17	17
710	5	5	21	14	13	27	5	14	5	5	2	6	1	3	1	9	1	1	1	1	1	28	16	26	3	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	1	16	12	12	1	1	1	12	1	1	1	1	1	1	22	6	5	5	30	13	1	21	5	31	22	22
720	8	5	3	14	19	27	14	14	5	5	1	6	7	3	1	9	1	1	1	1	1	28	29	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	21	29	12	21	1	1	1	12	1	1	1	1	7	7	1	7	3	14	11	19	2	8	21	19	21	21
