Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1410	-55.11076	-55.23485	0.1240922	1.136017	1.136017	1.136017	1.136017	1.136017	1.136017	0.03952803
1420	-57.47024	-54.62343	-2.846816	2.752057	2.752057	2.752057	2.752057	2.752057	2.752057	0.02720809
1430	-56.75379	-56.22158	-0.5322059	1.808068	1.808068	1.808068	1.808068	1.808068	1.808068	0.01943737
1440	-55.18145	-55.00215	-0.1792994	1.271921	1.271921	1.271921	1.271921	1.271921	1.271921	0.04158422
1450	-54.80193	-55.23094	0.4290043	1.073174	1.073174	1.073174	1.073174	1.073174	1.073174	0.03246013
1460	-55.78425	-54.96956	-0.8146969	1.483673	1.483673	1.483673	1.483673	1.483673	1.483673	0.05124124
1470	-56.93	-55.19743	-1.732573	1.780326	1.780326	1.780326	1.780326	1.780326	1.780326	0.06850536
1480	-57.69275	-53.96157	-3.731181	2.691023	2.691023	2.691023	2.691023	2.691023	2.691023	0.07453972
1490	-54.84375	-55.08708	0.2433255	1.151957	1.151957	1.151957	1.151957	1.151957	1.151957	0.03410284
1500	-56.00798	-53.91874	-2.089238	2.23398	2.23398	2.23398	2.23398	2.23398	2.23398	0.03720126
1510	-54.93059	-55.00734	0.07675364	1.205604	1.205604	1.205604	1.205604	1.205604	1.205604	0.03651683
1520	-55.70336	-54.08596	-1.617391	1.919417	1.919417	1.919417	1.919417	1.919417	1.919417	0.04533212
1530	-55.87635	-56.45675	0.5804004	0.7605979	0.7605979	0.7605979	0.7605979	0.7605979	0.7605979	0.04065932
1540	-55.68542	-55.26272	-0.4226981	1.655839	1.655839	1.655839	1.655839	1.655839	1.655839	0.02410707
1550	-55.96396	-54.25982	-1.704137	1.898119	1.898119	1.898119	1.898119	1.898119	1.898119	0.05174625
1560	-55.36333	-55.47252	0.1091862	1.413253	1.413253	1.413253	1.413253	1.413253	1.413253	0.02351431
1570	-56.10089	-55.70857	-0.3923235	1.692981	1.692981	1.692981	1.692981	1.692981	1.692981	0.02160929
1580	-57.05356	-55.59505	-1.458511	1.645985	1.645985	1.645985	1.645985	1.645985	1.645985	0.06935522
1590	-56.68468	-53.95815	-2.726526	2.579096	2.579096	2.579096	2.579096	2.579096	2.579096	0.03429531
1600	-56.36866	-56.0602	-0.3084622	1.190334	1.190334	1.190334	1.190334	1.190334	1.190334	0.0552196
1610	-54.90583	-55.57432	0.6684947	0.9041525	0.9041525	0.9041525	0.9041525	0.9041525	0.9041525	0.03269621
1620	-54.87232	-55.51553	0.6432091	0.9294196	0.9294196	0.9294196	0.9294196	0.9294196	0.9294196	0.03248539
1630	-57.50339	-53.55421	-3.949185	2.912317	2.912317	2.912317	2.912317	2.912317	2.912317	0.05946456
1640	-55.73163	-54.21504	-1.516586	1.848175	1.848175	1.848175	1.848175	1.848175	1.848175	0.04773807
1650	-55.03457	-54.74114	-0.2934317	1.486091	1.486091	1.486091	1.486091	1.486091	1.486091	0.03027315
1660	-55.04692	-55.72408	0.677168	0.8584615	0.8584615	0.8584615	0.8584615	0.8584615	0.8584615	0.03412712
1670	-54.93013	-55.5245	0.5943674	1.137638	1.137638	1.137638	1.137638	1.137638	1.137638	0.02462755
1680	-55.6437	-54.04984	-1.59386	1.932452	1.932452	1.932452	1.932452	1.932452	1.932452	0.04305978
1690	-54.80664	-55.21471	0.40807	1.168523	1.168523	1.168523	1.168523	1.168523	1.168523	0.02807081
1700	-55.42867	-55.23913	-0.1895449	1.235648	1.235648	1.235648	1.235648	1.235648	1.235648	0.04503898
1710	-55.76318	-53.96202	-1.801157	2.031015	2.031015	2.031015	2.031015	2.031015	2.031015	0.0429154
1720	-55.41697	-55.06014	-0.3568307	1.593103	1.593103	1.593103	1.593103	1.593103	1.593103	0.02577757
1730	-54.89187	-54.80219	-0.08968014	1.323735	1.323735	1.323735	1.323735	1.323735	1.323735	0.03435008
1740	-62.36904	-60.06003	-2.309018	1.661745	1.661745	1.661745	1.661745	1.661745	1.661745	0.157005
1750	-57.15406	-54.33586	-2.818198	2.277814	2.277814	2.277814	2.277814	2.277814	2.277814	0.07031082
1760	-56.25216	-53.82531	-2.426848	2.379887	2.379887	2.379887	2.379887	2.379887	2.379887	0.03838353
1770	-58.86575	-53.57772	-5.288034	3.461526	3.461526	3.461526	3.461526	3.461526	3.461526	0.07878367
1780	-55.15057	-54.77266	-0.3779148	1.378653	1.378653	1.378653	1.378653	1.378653	1.378653	0.04105685
1790	-57.48326	-53.4915	-3.991764	3.011407	3.011407	3.011407	3.011407	3.011407	3.011407	0.05103294
1800	-54.809	-55.55193	0.7429317	1.028307	1.028307	1.028307	1.028307	1.028307	1.028307	0.02549702
1810	-54.96343	-55.34659	0.3831656	1.038465	1.038465	1.038465	1.038465	1.038465	1.038465	0.03595585
1820	-54.97107	-55.52424	0.5531701	0.9474135	0.9474135	0.9474135	0.9474135	0.9474135	0.9474135	0.03470713
